
Época 44200| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 44300| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 44400| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 44500| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 44600| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 44700| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 44800| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 44900| Train Loss 0.0| Train ACC 1.0| Test loss 22.552671682086803| Test Acc 0.819

*********************************

Época 45000| Train Loss 0.0| Train ACC 1.0| Test loss 22.552583000623233| Test Acc 0.82

*********************************

Época 45100| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 45200| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 45300| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 45400| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 45500| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 45600| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 45700| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 45800| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 45900| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 46000| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 46100| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 46200| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 46300| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 46400| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

Época 46500| Train Loss 0.0| Train ACC 1.0| Test loss 22.552228271281756| Test Acc 0.821

*********************************

